# https://supermag.jhuapl.edu/inventory
IAGA	GLON	GLAT	MLON	MLAT	Station name	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
SON	66.44	25.12	139.81	19.36	Sonmiani	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	13%	95%	91%	96%	82%	88%	60%
AMU	210.13	61.24	-93.38	61.32	Anchorage	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	80%	93%	39%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
YKC	245.52	62.48	-56.85	69.42	Yellowknife	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	96%	97%	95%	99%	95%	98%	99%	98%	100%	100%	100%	99%	100%	92%	100%	99%	100%	99%	94%	100%	100%	100%	86%	100%	100%	63%	97%	98%	99%	100%	100%	99%	95%	100%	94%	80%	84%	59%
CBB	254.97	69.12	-47.81	77.05	Cambridge Bay	0%	0%	0%	0%	0%	0%	0%	97%	98%	100%	99%	91%	83%	98%	100%	97%	86%	100%	100%	100%	100%	100%	92%	93%	100%	100%	100%	100%	99%	99%	99%	99%	100%	99%	97%	100%	100%	100%	99%	100%	100%	95%	100%	100%	94%	93%	91%	97%	100%	92%	10%	60%
RES	265.11	74.69	-35.53	82.93	Resolute Bay	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	88%	94%	99%	95%	99%	100%	100%	100%	100%	99%	100%	100%	100%	99%	100%	100%	100%	100%	100%	100%	97%	100%	100%	100%	100%	100%	100%	93%	99%	100%	100%	100%	96%	100%	100%	100%	100%	100%	94%	98%	99%	60%
BLC	263.99	64.32	-30.06	73.60	Baker Lake	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	99%	99%	98%	99%	99%	99%	100%	100%	100%	100%	99%	95%	100%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	88%	83%	64%	93%	99%	100%	99%	100%	100%	98%	95%	100%	99%	72%	93%	60%
MEA	246.65	54.62	-52.11	61.85	Meanook	0%	0%	0%	0%	0%	0%	97%	0%	0%	99%	99%	100%	100%	100%	100%	100%	100%	100%	100%	99%	100%	100%	99%	99%	100%	100%	100%	100%	100%	100%	99%	100%	100%	100%	100%	98%	100%	100%	92%	99%	99%	91%	96%	100%	100%	100%	100%	100%	99%	100%	98%	60%
SIT	224.67	57.06	-77.83	59.87	Sitka	0%	0%	0%	0%	0%	0%	0%	0%	0%	83%	88%	61%	83%	99%	0%	98%	100%	92%	99%	96%	99%	97%	98%	100%	100%	100%	99%	100%	100%	100%	100%	100%	98%	100%	100%	99%	100%	97%	99%	99%	100%	100%	99%	98%	96%	98%	100%	100%	100%	100%	100%	60%
PBQ	282.26	55.28	0.20	65.01	Poste de la Baleine	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	31%	100%	99%	100%	100%	100%	99%	98%	100%	100%	100%	100%	100%	93%	100%	100%	100%	99%	97%	100%	100%	94%	100%	49%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
MEK	30.97	62.77	108.66	59.57	Mekrijaervi	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	25%	96%	88%	97%	100%	99%	91%	98%	95%	85%	89%	98%	97%	82%	96%	97%	60%
STJ	307.32	47.6	31.64	52.61	St Johns	0%	0%	0%	0%	0%	0%	0%	0%	0%	96%	98%	100%	86%	98%	100%	100%	100%	100%	100%	97%	96%	100%	99%	98%	100%	97%	98%	100%	97%	99%	99%	92%	100%	97%	99%	100%	99%	97%	99%	95%	49%	73%	43%	97%	100%	100%	100%	97%	100%	99%	99%	60%
ALE	297.5	82.5	86.95	87.14	Alert	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	91%	100%	100%	89%	77%	90%	92%	100%	98%	89%	97%	100%	97%	0%	0%	0%	0%	0%	4%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
LRV	338.3	64.18	66.72	65.01	Leirvogur	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	17%	100%	100%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	0%	0%	100%	100%	100%	100%	100%	0%	0%	0%	0%	0%	0%	0%	0%
BOU	254.76	40.14	-38.69	48.52	Boulder	0%	0%	0%	0%	0%	0%	0%	0%	0%	76%	84%	93%	97%	93%	96%	96%	94%	98%	96%	98%	100%	99%	100%	99%	98%	100%	99%	94%	99%	99%	98%	94%	99%	100%	100%	99%	91%	98%	100%	99%	100%	100%	100%	100%	99%	100%	100%	98%	99%	100%	100%	60%
FRN	240.28	37.09	-54.89	42.63	Fresno	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	74%	95%	97%	99%	92%	95%	98%	86%	99%	100%	100%	100%	96%	94%	99%	98%	97%	89%	97%	99%	89%	99%	99%	98%	97%	0%	97%	99%	99%	99%	100%	93%	0%	96%	100%	100%	96%	60%
VIC	236.58	48.52	-62.05	53.62	Victoria	0%	0%	0%	0%	0%	0%	0%	0%	0%	98%	91%	99%	99%	96%	98%	100%	100%	100%	92%	99%	100%	96%	100%	100%	100%	95%	100%	98%	98%	100%	95%	99%	100%	100%	100%	100%	100%	96%	100%	99%	100%	99%	99%	100%	98%	99%	100%	100%	100%	99%	100%	59%
NEW	242.88	48.27	-54.82	54.65	Newport	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	31%	93%	42%	79%	98%	99%	95%	85%	90%	88%	97%	98%	96%	99%	92%	91%	96%	98%	96%	94%	96%	94%	89%	96%	99%	98%	100%	100%	100%	100%	100%	99%	96%	97%	100%	99%	100%	100%	60%
LOV	17.83	59.35	96.13	56.27	Lovo	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	32%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
LER	358.82	60.13	80.96	58.20	Lerwick	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	60%
VAL	349.75	51.93	70.41	49.13	Valentia	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	83%	58%	83%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	85%	99%	98%	100%	88%	68%	59%
HAD	355.52	50.98	74.74	47.37	Hartland	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	99%	96%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	99%	100%	100%	100%	100%	100%	0%
ESK	356.8	55.32	77.25	52.74	Eskdalemuir	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	98%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	99%	100%	100%	99%	100%	100%	60%
MAB	5.68	50.3	82.86	45.98	Manhay	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	98%	100%	99%	100%	100%	98%	98%	99%	100%	100%	100%	100%	100%	100%	100%	100%	99%	99%	99%	8%	11%	27%	32%	93%	82%	0%
DOU	4.6	50.1	81.91	45.76	Dourbes	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	99%	100%	100%	100%	100%	100%	100%	96%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	8%	8%	33%	33%	99%	83%	0%
BFE	11.67	55.62	89.56	52.27	Brorfelde	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	0%	0%	100%	100%	100%	100%	100%	99%	100%	100%	100%	100%	99%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	98%	99%	100%	77%	99%	98%	100%	99%	100%	92%	91%	60%
CLF	2.27	48.02	79.42	43.11	Chambon la foret	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	79%	36%	86%	99%	99%	97%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	99%	98%	100%	100%	14%	60%
OTT	284.45	45.4	2.52	54.98	Ottawa	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	100%	87%	100%	98%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	99%	100%	100%	100%	100%	100%	100%	100%	100%	99%	98%	99%	100%	100%	97%	100%	100%	99%	100%	100%	100%	100%	60%
WNG	9.07	53.75	86.75	50.15	Wingst	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	98%	99%	99%	99%	100%	100%	100%	98%	99%	100%	100%	100%	100%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	99%	100%	100%	100%	100%	99%	100%	100%	100%	99%	100%	100%	100%	100%	98%	98%	59%
VRE	292.38	-17.28	3.97	-4.53	Villa Remedios	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	3%	85%	94%	100%	97%	95%	91%	90%	70%	98%	94%	96%	0%	0%	0%	0%	0%	0%	0%
SHE	354.27	-15.95	63.70	-25.71	St. Helena	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	29%	22%	39%	95%	99%	99%	59%	0%	0%	0%	0%	0%	0%	60%
SMA	334.87	36.99	55.49	30.34	Santa Maria/Azoren	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
PNL	303.83	-16.68	14.21	-7.90	Pantanal	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
THY	17.54	46.9	92.25	41.72	Tihany	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	92%	88%	98%	98%	98%	99%	94%	88%	98%	99%	100%	100%	100%	100%	99%	100%	100%	100%	100%	100%	99%	100%	100%	99%	97%	95%	95%	97%	97%	59%
BEL	20.8	51.83	96.27	47.71	Belsk	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	97%	100%	100%	60%
FUR	11.28	48.17	87.05	43.20	Furstenfeldbruk	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	93%	92%	99%	99%	99%	99%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	91%	100%	63%	97%	97%	92%	95%	60%
NGK	12.68	52.07	89.28	48.03	Niemegk	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	95%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	98%	60%
BDV	14.02	49.07	89.64	44.35	Budkov	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	79%	75%	95%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	100%	99%	99%	99%	100%	98%	45%	53%	89%	94%	92%	94%	60%
FRD	282.63	38.2	-0.64	48.05	Fredericksburg	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	89%	95%	79%	92%	98%	98%	97%	98%	100%	100%	99%	100%	99%	100%	100%	99%	100%	100%	98%	98%	95%	99%	99%	99%	98%	98%	100%	100%	99%	99%	99%	99%	100%	100%	100%	100%	60%
CRP	275.09	10.44	-12.58	21.63	Chiripa	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	93%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
HYB	78.6	17.4	151.87	10.36	Hyderabad	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	97%	94%	100%	100%	49%	81%	100%	26%	0%	95%	0%	60%
IPM	250.58	-27.2	-32.30	-19.28	Isla de Pascua	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	96%	91%	100%	100%	100%	94%	87%	100%	69%	27%	60%
